claim_id,claim,evidence_type,statistical_tier,current_status,allowed_manuscript_language,forbidden_language,internal_support,native_teacher_support,external_time_series_support,lineage_or_clone_support,negative_controls,module_necessity,next_required_experiment
C1,native moscot teacher construction,native_moscot transport extraction succeeded on the internal dataset and sensitivity grid,native_moscot_success,retained,Native moscot teacher extraction succeeded for the analyzed downsampled settings.,Native moscot provides ground-truth ancestry.,True,True,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C2,teacher fidelity,acceptable teacher-fidelity tier for the retained primary agent,acceptable,retained,The primary agent remains within acceptable teacher-fidelity tolerance.,The agent model beats the OT reference.,True,True,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C3,primary model M5 selection,"M5 has acceptable fidelity, strong branch signature and no unsupported modules",acceptable,retained,M5_ot_swarm is the primary mechanistic model selected by evidence and simplicity.,The full memory model is automatically primary.,True,True,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C4,branch nucleation signature,"internal rollout, native sensitivity and E1 time-series support",strong_internal_acceptable_external,retained_computational_hypothesis,A branch-nucleation order-parameter signature is retained as a computational hypothesis.,A biological mechanism is proven.,True,True,True,False,performed; swarm-specific necessity remains weak,not_applicable,No immediate action for retained language.
C5,transient condensation-before-divergence,negative separation effect with increased alignment internally and in E1,acceptable,retained_computational_hypothesis,The best current interpretation is transient condensation-before-divergence.,The signature is causal or experimentally established.,True,True,True,False,performed; swarm-specific necessity remains weak,not_applicable,No immediate action for retained language.
C6,swarm alignment contribution,"M5 retained, but no-swarm/no-teacher controls still show condensation-like effects",weak,not_sufficient_for_main_claim,Swarm terms may stabilize the retained model but necessity is not established.,Do not state that swarm rules are necessary.,False,False,False,False,performed; swarm-specific necessity remains weak,not_established,Run targeted no-alignment/no-cohesion/no-separation rollouts with matched teacher fidelity.
C7,diffusion encoded recovery,diffusion law recovered under direct entropy-conditioned supervision,acceptable_encoded,encoded_control_law_recovery,"Diffusion is an encoded control-law recovery, not independent discovery.",Diffusion law was discovered independently.,True,False,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C8,birth/death unsupported,event-rate evidence insufficient,fail,unsupported,Birth/death remains unsupported under current evidence.,Birth/death module is an established mechanism.,False,False,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C9,memory unsupported,paired memory evidence insufficient,fail,unsupported,Memory hysteresis remains unsupported.,Memory hysteresis is established.,False,False,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C10,CCI unsupported,rerollout/proxy evidence insufficient,fail,unsupported,CCI branch bias remains unsupported.,CCI support is established.,False,False,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C11,external MouseGastrulationData time-series support,E1 native_moscot teacher and branch event reproduce direction,acceptable,external_time_series_support,"E1 provides external time-series support, without lineage barcodes.",E1 establishes clone-resolved support.,False,False,True,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C12,clone/lineage validation,Kim 2020 clone data loaded but condensation exposure does not support clone-level fate diversification,fail,lineage_validation_not_supported,Clone-level support is not established in the current L1 attempt.,Clone-level evidence is complete.,False,False,False,False,not_applicable_or_failed,not_applicable,Run clone-aware validation on a larger time-resolved clone/barcode dataset with native teacher extraction.
C13,external generalization across systems,E2 local GSE212050 feasibility analysis is weak and non-native,weak,exploratory,Cross-system generalization remains exploratory.,Generalization across systems is established.,False,False,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C14,experimental validation,no new experiment was performed,fail,future_work,Experimental validation is a future requirement.,Experimental confirmation has already been completed.,False,False,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
C15,Nature-level readiness,major lineage and mechanistic gaps remain,fail,not_ready,The package is not ready for high-impact biological claims.,Ready for a top-journal biological mechanism claim.,False,False,False,False,not_applicable_or_failed,not_applicable,No immediate action for retained language.
