dataset,module,ligand,receptor,event_pair_score,sender_lineage_proxy,receiver_lineage_proxy,known_developmental_relevance,confidence_tier,allowed_claim,forbidden_claim,event_time,module_support_tier
E1_MouseGastrulationData,FGF_niche,FGF3,FGFR1,0.29119581643342335,Haematoendothelial progenitors,Nascent mesoderm,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,7.25,acceptable
E1_MouseGastrulationData,FGF_niche,FGF8,FGFR1,0.27506155362884893,Primitive Streak,Nascent mesoderm,FGF signalling is a canonical developmental patterning and mesoderm/primitive-streak-associated pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,7.25,acceptable
E1_MouseGastrulationData,ECM_adhesion_guidance_niche,MDK,NCL,0.4706297508083997,Def. endoderm,Epiblast,ECM/adhesion/guidance cues are plausible niche and migration-associated branch-window signals.,candidate,candidate spatial or perturbation target,established signalling mechanism,7.25,weak
E1_MouseGastrulationData,ECM_adhesion_guidance_niche,FN1,ITGB1,0.41663893225677556,Mixed mesoderm,Haematoendothelial progenitors,ECM/adhesion/guidance cues are plausible niche and migration-associated branch-window signals.,candidate,candidate spatial or perturbation target,established signalling mechanism,7.25,weak
E1_MouseGastrulationData,ECM_adhesion_guidance_niche,MDK,ITGB1,0.3933397458122873,Def. endoderm,Haematoendothelial progenitors,ECM/adhesion/guidance cues are plausible niche and migration-associated branch-window signals.,candidate,candidate spatial or perturbation target,established signalling mechanism,7.25,weak
E1_MouseGastrulationData,ECM_adhesion_guidance_niche,PTN,NCL,0.1813511227706268,Epiblast,Epiblast,ECM/adhesion/guidance cues are plausible niche and migration-associated branch-window signals.,candidate,candidate spatial or perturbation target,established signalling mechanism,7.25,weak
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,TGFB1,TGFBR1,0.19297316685581914,Blood progenitors 1,Spinal cord,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,TGFB2,TGFBR1,0.16745762194593633,Cardiomyocytes,Spinal cord,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,TGFBR1,ACVR1,0.14107024254139622,Spinal cord,Endothelium,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,TGFBR1,ACVRL1,0.1276028355257028,Spinal cord,Endothelium,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,TGFBR1,TGFBR3,0.11777208428375702,Spinal cord,Haematoendothelial progenitors,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,TGFB1,ACVRL1,0.11501964159562984,Blood progenitors 1,Endothelium,TGF/NODAL/ACTIVIN signalling is a canonical early developmental patterning pathway.,candidate,candidate spatial or perturbation target,established signalling mechanism,8.0,weak
