direction,hypothesis,success_criterion,failure_criterion,result,tier,retained_for_main_story,allowed_language,forbidden_language
D1_topological_vs_metric,A fixed number of developmental neighbours is more explanatory than metric-radius neighbours.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result",topological_and_metric_both_supported_but_not_specific,fail,False,computational diagnostic at reported tier,biological mechanism established
D2_optimal_topological_scale,A stable topological k exists across datasets and downsampling.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result",best_k=2; not stable enough for a small-neighbour law,weak,False,computational diagnostic at reported tier,biological mechanism established
D3_high_susceptibility_window,Branch events coincide with elevated collective susceptibility.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result",susceptibility_tier=weak,weak,False,computational diagnostic at reported tier,biological mechanism established
D4_minimal_pairwise_model,A local pairwise model predicts global order-parameter direction.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result",maxent_direction_match_rate=0.5,acceptable,True,computational diagnostic at reported tier,biological mechanism established
D5_local_perturbation_propagation,Small local bias propagates along developmental-neighbour graphs.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result",localized_response_without_topological_specificity,weak,False,computational diagnostic at reported tier,biological mechanism established
D6_expected_patterns,The model recovers reasonable developmental order-parameter patterns.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result","mixed: internal/E1 support, L2/E2 failures",weak,False,computational diagnostic at reported tier,biological mechanism established
D7_L2_reverse_clone_result,Condensation exposure predicts clone branch splitting.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result",l2_primary_condensation_fails_with_alternative_exposure_confounding,fail,False,computational diagnostic at reported tier,biological mechanism established
D8_clone_dataset_expansion,A better clone-aware dataset can validate the branch signature.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result",12 candidates verified; no new local support yet,weak,False,computational diagnostic at reported tier,biological mechanism established
D9_swarm_attribution,Swarm rules are necessary for the signature.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result",generic_rollout_artifact,fail,False,computational diagnostic at reported tier,biological mechanism established
D10_theoretical_graph_dynamics,Topological interactions provide a density-robust graph-dynamical interpretation.,"internal native support, E1 direction match, clean controls, stability, and no simpler artifact","controls reproduce signal, L2 contradicts clone claim, instability, or simpler geometry explains result",theory is consistent with diagnostics but not independently validated,weak,False,computational diagnostic at reported tier,biological mechanism established
